ph,ec,oc,n,p,k,s,z,b,fe,mn,cu,name
6.86,0.73,1.85,59,106,72,24.15,0.69,0.5,2.53,1.1,0.1,Soyabean
7.1,0.78,1.39,41,104,65,20.03,0.74,0.57,2.88,1.34,0.08,Soyabean
6.65,0.75,1.18,50,105,71,24.89,0.69,0.6,2.63,1.24,0.14,Soyabean
6.79,0.69,1.75,45,99,66,19.49,0.62,0.54,2.9,1.41,0.15,Soyabean
6.89,0.68,1.37,50,108,75,18.91,0.74,0.51,2.59,1.56,0.15,Soyabean
6.11,0.62,1.86,58,85,76,19.94,0.65,0.56,2.82,1.7,0.12,Soyabean
7.11,0.74,1.32,56,100,70,16.08,0.71,0.5,2.51,1.58,0.14,Soyabean
6.57,0.72,1.5,49,88,65,24.35,0.69,0.59,2.72,1.46,0.13,Soyabean
7.17,0.66,1.61,41,100,75,20.07,0.72,0.59,2.79,1.24,0.15,Soyabean
6.12,0.75,1.41,41,90,76,20.72,0.78,0.51,2.94,1.11,0.13,Soyabean
6.52,0.67,1.53,45,111,74,20.59,0.74,0.59,2.65,1.22,0.15,Soyabean
6.07,0.62,1.34,49,84,72,18.55,0.64,0.57,2.5,1.5,0.15,Soyabean
7.12,0.68,1.2,57,111,72,17.2,0.62,0.6,2.61,1.43,0.1,Soyabean
7.3,0.61,1.71,56,118,69,22.11,0.71,0.57,2.62,1.36,0.14,Soyabean
7.45,0.77,1.45,42,98,70,19.89,0.71,0.57,2.55,1.48,0.16,Soyabean
7.01,0.78,1.41,48,98,77,15.13,0.66,0.5,2.88,1.19,0.1,Soyabean
7.41,0.61,1.61,40,104,72,16.86,0.65,0.51,2.78,1.76,0.15,Soyabean
7.41,0.77,1.74,53,93,75,17.08,0.77,0.55,2.74,1.18,0.11,Soyabean
7.0,0.75,1.73,58,91,74,20.62,0.67,0.5,2.94,1.76,0.08,Soyabean
6.6,0.77,1.41,59,118,70,23.75,0.72,0.58,2.93,1.71,0.11,Soyabean
7.37,0.78,1.56,51,109,75,22.85,0.77,0.53,2.93,1.8,0.09,Soyabean
7.49,0.79,1.75,40,97,75,24.19,0.71,0.55,2.71,1.77,0.09,Soyabean
7.0,0.76,1.56,58,86,69,21.8,0.63,0.53,2.9,1.12,0.13,Soyabean
6.4,0.78,1.32,40,91,70,21.48,0.7,0.5,2.8,1.33,0.15,Soyabean
6.62,0.72,1.35,48,119,65,18.62,0.63,0.52,2.65,1.6,0.1,Soyabean
6.98,0.77,1.41,55,91,66,17.16,0.78,0.56,2.77,1.25,0.1,Soyabean
6.3,0.74,1.23,45,115,67,23.39,0.64,0.53,2.67,1.13,0.08,Soyabean
6.35,0.71,1.4,57,96,68,18.54,0.75,0.58,2.87,1.49,0.13,Soyabean
7.15,0.74,1.15,52,95,74,24.8,0.64,0.54,2.92,1.55,0.14,Soyabean
7.26,0.63,1.32,56,92,75,18.67,0.73,0.6,2.76,1.48,0.13,Soyabean
7.45,0.73,1.33,47,97,78,18.9,0.78,0.53,2.67,1.21,0.16,Soyabean
7.28,0.72,1.21,41,82,65,16.21,0.69,0.5,2.97,1.15,0.15,Soyabean
6.42,0.7,1.15,43,103,73,23.48,0.66,0.55,2.64,1.49,0.1,Soyabean
6.27,0.7,1.25,53,94,75,19.45,0.74,0.59,2.55,1.12,0.11,Soyabean
6.06,0.69,1.88,45,88,79,23.25,0.66,0.5,2.57,1.1,0.12,Soyabean
6.23,0.77,1.32,45,100,71,16.97,0.63,0.57,2.77,1.43,0.15,Soyabean
7.45,0.72,1.21,43,87,72,16.96,0.7,0.52,2.95,1.6,0.09,Soyabean
6.71,0.63,1.89,40,86,78,15.86,0.63,0.56,2.7,1.28,0.09,Soyabean
7.27,0.76,1.67,59,108,70,21.26,0.61,0.58,2.7,1.47,0.14,Soyabean
6.16,0.71,1.17,42,81,65,19.43,0.79,0.52,2.57,1.67,0.13,Soyabean
6.06,0.78,1.4,42,92,78,16.96,0.77,0.54,2.99,1.78,0.09,Soyabean
6.43,0.64,1.47,45,98,76,24.96,0.61,0.56,2.94,1.47,0.11,Soyabean
7.11,0.73,1.97,57,117,72,17.47,0.74,0.56,2.94,1.62,0.14,Soyabean
6.35,0.6,1.83,55,83,75,20.18,0.61,0.54,2.91,1.12,0.11,Soyabean
6.98,0.66,1.51,44,96,77,16.03,0.63,0.5,2.79,1.34,0.12,Soyabean
6.93,0.76,1.97,49,110,73,19.75,0.64,0.52,2.86,1.68,0.14,Soyabean
7.35,0.62,1.86,51,115,70,22.53,0.63,0.51,2.84,1.44,0.14,Soyabean
6.27,0.73,1.85,56,114,68,18.16,0.61,0.58,2.82,1.43,0.09,Soyabean
6.46,0.8,1.9,41,103,76,19.17,0.7,0.6,2.62,1.43,0.11,Soyabean
6.22,0.66,1.6,57,111,74,24.97,0.62,0.54,2.9,1.23,0.13,Soyabean
6.33,0.77,1.66,47,118,67,23.09,0.69,0.56,2.79,1.15,0.09,Soyabean
7.48,0.77,1.88,46,101,72,23.66,0.69,0.58,2.63,1.41,0.14,Soyabean
7.14,0.78,1.53,52,106,69,21.4,0.61,0.5,2.9,1.73,0.14,Soyabean
6.28,0.68,1.61,59,94,74,15.39,0.72,0.51,2.74,1.71,0.13,Soyabean
6.4,0.68,1.57,51,87,67,18.35,0.65,0.53,2.85,1.58,0.09,Soyabean
7.42,0.78,1.31,50,92,77,22.4,0.61,0.54,2.61,1.52,0.09,Soyabean
7.29,0.79,1.38,53,108,78,18.65,0.67,0.54,2.66,1.34,0.16,Soyabean
7.07,0.69,1.95,57,88,67,22.14,0.79,0.53,2.95,1.5,0.13,Soyabean
6.76,0.75,1.55,53,109,72,17.47,0.69,0.53,2.95,1.73,0.13,Soyabean
7.07,0.68,1.6,52,80,77,24.55,0.73,0.58,2.67,1.75,0.09,Soyabean
7.1,0.79,1.77,47,85,69,24.97,0.68,0.6,2.72,1.24,0.08,Soyabean
7.18,0.71,1.46,44,98,65,24.01,0.63,0.53,2.99,1.26,0.13,Soyabean
6.02,0.68,1.33,44,85,69,23.99,0.67,0.56,2.76,1.72,0.13,Soyabean
6.17,0.74,1.91,48,99,68,17.27,0.7,0.58,2.98,1.39,0.11,Soyabean
7.35,0.78,1.16,49,104,72,21.57,0.68,0.56,2.58,1.58,0.14,Soyabean
6.34,0.71,1.13,43,112,76,21.01,0.71,0.55,2.74,1.56,0.14,Soyabean
6.69,0.66,1.17,56,106,68,23.97,0.77,0.55,2.67,1.24,0.09,Soyabean
6.11,0.72,1.47,41,102,71,17.55,0.66,0.56,2.62,1.41,0.15,Soyabean
6.7,0.72,1.07,50,104,65,16.14,0.77,0.55,2.7,1.43,0.12,Soyabean
6.51,0.79,1.81,45,81,77,23.55,0.76,0.56,2.94,1.29,0.1,Soyabean
6.16,0.71,1.01,54,117,69,19.03,0.71,0.53,2.61,1.63,0.11,Soyabean
6.77,0.73,1.56,54,92,78,15.19,0.7,0.52,2.92,1.52,0.09,Soyabean
6.03,0.63,1.01,49,100,69,17.93,0.74,0.56,2.94,1.41,0.16,Soyabean
6.46,0.72,1.82,54,106,77,18.14,0.75,0.56,2.71,1.36,0.15,Soyabean
6.98,0.74,1.26,49,107,66,21.83,0.68,0.53,2.5,1.15,0.13,Soyabean
6.02,0.72,1.11,47,105,77,19.25,0.61,0.53,2.91,1.14,0.12,Soyabean
6.6,0.71,1.7,53,100,77,20.62,0.72,0.55,2.77,1.75,0.1,Soyabean
7.46,0.71,1.8,50,105,75,24.22,0.7,0.58,2.52,1.41,0.16,Soyabean
6.15,0.78,1.54,54,88,76,17.16,0.62,0.59,2.82,1.54,0.11,Soyabean
6.08,0.64,1.88,45,116,69,20.85,0.7,0.52,2.82,1.45,0.14,Soyabean
6.19,0.61,1.75,42,116,79,24.99,0.64,0.55,2.84,1.43,0.14,Soyabean
7.13,0.77,1.93,56,107,65,16.27,0.71,0.53,2.65,1.67,0.13,Soyabean
7.49,0.68,1.51,40,113,68,17.72,0.62,0.51,2.87,1.2,0.15,Soyabean
6.29,0.61,1.78,47,94,74,16.29,0.77,0.54,2.67,1.43,0.13,Soyabean
6.99,0.68,1.11,56,81,70,24.54,0.66,0.58,2.86,1.39,0.12,Soyabean
6.49,0.75,1.53,59,119,69,16.45,0.63,0.57,2.97,1.32,0.11,Soyabean
6.86,0.7,1.18,49,113,69,18.9,0.61,0.5,2.92,1.75,0.16,Soyabean
7.38,0.75,1.46,48,117,65,24.63,0.69,0.51,2.88,1.44,0.14,Soyabean
7.05,0.65,1.19,44,117,79,19.14,0.73,0.53,2.61,1.78,0.13,Soyabean
6.82,0.77,1.2,45,92,78,21.39,0.63,0.58,2.69,1.62,0.14,Soyabean
6.55,0.62,1.55,51,109,76,21.41,0.66,0.55,2.82,1.5,0.09,Soyabean
6.35,0.61,1.96,53,108,70,19.2,0.63,0.51,2.8,1.78,0.09,Soyabean
6.64,0.71,1.6,43,80,68,17.51,0.63,0.56,2.97,1.34,0.12,Soyabean
7.33,0.65,1.97,51,85,71,18.89,0.77,0.51,2.74,1.55,0.12,Soyabean
6.24,0.64,1.59,41,93,71,21.65,0.63,0.56,2.62,1.61,0.16,Soyabean
6.02,0.62,1.49,44,99,77,15.53,0.69,0.58,2.79,1.2,0.15,Soyabean
6.87,0.65,1.87,40,87,79,17.59,0.77,0.58,2.66,1.42,0.11,Soyabean
7.33,0.73,1.23,41,115,73,20.01,0.76,0.6,2.81,1.59,0.14,Soyabean
6.65,0.79,1.97,48,109,78,24.66,0.69,0.55,2.96,1.37,0.13,Soyabean
6.53,0.67,1.12,48,119,67,20.92,0.67,0.51,2.96,1.37,0.14,Soyabean
6.03,0.66,1.95,59,96,67,15.26,0.72,0.59,2.58,1.69,0.14,Soyabean
7.13,0.69,1.12,44,111,76,15.8,0.71,0.5,2.86,1.23,0.1,Soyabean
6.62,0.61,1.41,57,109,67,19.62,0.68,0.51,2.6,1.39,0.14,Soyabean
6.84,0.67,1.69,52,92,70,21.1,0.6,0.52,2.68,1.39,0.09,Soyabean
6.54,0.76,1.19,44,107,72,22.97,0.75,0.56,2.81,1.43,0.11,Soyabean
6.17,0.67,1.3,46,102,76,20.03,0.75,0.6,2.86,1.13,0.16,Soyabean
7.19,0.7,1.35,40,109,78,21.18,0.61,0.59,2.6,1.31,0.11,Soyabean
6.07,0.78,1.32,47,86,77,22.56,0.71,0.56,2.94,1.72,0.1,Soyabean
6.43,0.62,1.14,42,115,69,24.25,0.68,0.52,2.97,1.14,0.12,Soyabean
6.07,0.71,1.22,47,97,72,21.1,0.74,0.56,2.5,1.55,0.12,Soyabean
6.81,0.64,1.98,43,95,79,15.7,0.71,0.56,2.9,1.54,0.11,Soyabean
6.94,0.61,1.81,40,101,73,21.8,0.77,0.58,2.53,1.31,0.13,Soyabean
6.87,0.68,1.74,54,113,67,21.44,0.76,0.51,2.84,1.13,0.11,Soyabean
7.31,0.65,1.74,54,112,68,23.59,0.67,0.51,2.5,1.73,0.13,Soyabean
6.49,0.75,1.53,53,97,78,15.08,0.78,0.59,2.84,1.62,0.16,Soyabean
6.55,0.72,1.38,55,108,74,24.39,0.78,0.57,2.78,1.16,0.12,Soyabean
7.0,0.65,1.8,52,84,74,24.68,0.74,0.56,2.54,1.31,0.14,Soyabean
7.04,0.62,1.12,47,105,79,16.95,0.74,0.56,2.5,1.39,0.16,Soyabean
7.17,0.63,1.79,46,93,65,24.16,0.63,0.51,2.54,1.13,0.12,Soyabean
6.47,0.78,1.0,48,105,70,19.87,0.64,0.53,2.84,1.66,0.12,Soyabean
6.94,0.72,1.63,58,95,71,18.06,0.67,0.52,2.78,1.65,0.14,Soyabean
6.24,0.69,1.05,50,91,72,19.85,0.6,0.5,2.55,1.6,0.09,Soyabean
7.49,0.66,1.38,56,95,78,19.67,0.62,0.53,2.96,1.55,0.09,Soyabean
7.06,0.71,1.16,50,99,68,23.12,0.61,0.57,2.73,1.33,0.09,Soyabean
7.16,0.7,1.17,48,101,70,17.1,0.61,0.52,2.61,1.26,0.1,Soyabean
6.66,0.63,1.76,50,111,69,15.41,0.62,0.54,2.7,1.79,0.12,Soyabean
6.05,0.71,1.92,46,108,76,20.77,0.66,0.51,2.61,1.67,0.09,Soyabean
6.15,0.66,1.16,54,95,79,23.04,0.72,0.58,2.59,1.47,0.13,Soyabean
7.03,0.6,1.24,56,104,69,17.68,0.62,0.6,2.55,1.24,0.1,Soyabean
6.4,0.72,1.89,59,91,70,15.82,0.62,0.59,2.53,1.59,0.08,Soyabean
6.48,0.62,1.7,54,84,68,24.27,0.68,0.56,2.63,1.61,0.14,Soyabean
6.03,0.68,1.37,48,88,72,16.87,0.71,0.55,2.72,1.71,0.11,Soyabean
7.11,0.65,1.84,40,101,68,15.91,0.76,0.57,2.63,1.67,0.11,Soyabean
6.16,0.69,1.59,53,82,69,16.97,0.8,0.58,2.6,1.71,0.14,Soyabean
6.59,0.62,1.13,51,111,68,22.64,0.63,0.59,2.65,1.38,0.08,Soyabean
6.98,0.76,1.52,56,119,66,17.01,0.75,0.6,2.52,1.29,0.08,Soyabean
7.29,0.7,1.08,53,100,72,19.71,0.66,0.55,2.78,1.17,0.13,Soyabean
7.05,0.79,1.97,40,85,78,23.92,0.78,0.56,2.88,1.17,0.12,Soyabean
6.79,0.69,1.39,41,98,68,15.7,0.79,0.56,2.77,1.32,0.14,Soyabean
6.19,0.66,1.13,51,81,78,16.64,0.74,0.52,2.96,1.63,0.13,Soyabean
6.79,0.63,1.09,43,105,74,15.38,0.61,0.55,2.52,1.28,0.12,Soyabean
7.08,0.74,1.88,46,82,65,18.54,0.68,0.55,2.65,1.44,0.13,Soyabean
7.36,0.77,1.56,52,83,77,23.31,0.78,0.53,2.64,1.77,0.1,Soyabean
6.41,0.65,1.68,48,110,70,21.04,0.68,0.55,2.83,1.16,0.1,Soyabean
7.19,0.71,1.28,46,91,74,19.34,0.78,0.57,2.94,1.5,0.14,Soyabean
7.31,0.73,1.55,54,91,74,18.74,0.67,0.6,2.97,1.37,0.14,Soyabean
6.66,0.61,1.71,44,99,74,22.8,0.72,0.6,2.63,1.26,0.14,Soyabean
6.64,0.71,1.69,50,116,70,15.79,0.75,0.55,2.99,1.35,0.11,Soyabean
6.07,0.6,1.48,40,87,68,17.21,0.74,0.57,2.91,1.72,0.09,Soyabean
6.89,0.68,1.99,58,111,69,18.35,0.67,0.5,2.72,1.45,0.11,Soyabean
6.69,0.65,1.99,54,81,69,20.02,0.71,0.51,2.57,1.67,0.1,Soyabean
7.01,0.66,1.67,47,105,79,21.7,0.65,0.55,2.79,1.4,0.1,Soyabean
6.13,0.77,1.22,48,106,79,15.85,0.72,0.57,2.75,1.39,0.08,Soyabean
6.17,0.74,1.59,59,102,65,16.52,0.61,0.6,2.71,1.48,0.09,Soyabean
6.51,0.68,1.76,52,82,71,17.86,0.79,0.53,2.83,1.58,0.1,Soyabean
7.32,0.63,1.08,43,84,72,20.52,0.73,0.55,2.99,1.22,0.09,Soyabean
6.88,0.73,1.37,42,109,65,15.05,0.79,0.52,2.6,1.12,0.1,Soyabean
7.47,0.62,1.87,44,95,73,19.06,0.68,0.51,2.9,1.33,0.16,Soyabean
7.44,0.61,1.93,48,116,70,18.39,0.75,0.54,2.79,1.21,0.12,Soyabean
7.47,0.61,1.19,55,111,68,19.75,0.68,0.59,2.68,1.79,0.16,Soyabean
7.22,0.79,1.69,40,89,66,18.02,0.78,0.55,2.61,1.36,0.11,Soyabean
6.75,0.76,1.13,59,92,76,23.39,0.63,0.53,2.65,1.24,0.15,Soyabean
6.94,0.8,1.39,44,99,76,16.11,0.63,0.53,2.61,1.21,0.14,Soyabean
6.68,0.62,1.47,57,99,74,22.77,0.72,0.53,2.76,1.71,0.12,Soyabean
6.86,0.63,1.83,56,115,68,21.74,0.79,0.52,2.7,1.33,0.1,Soyabean
7.42,0.75,1.89,44,106,65,24.06,0.71,0.58,2.54,1.26,0.13,Soyabean
6.79,0.66,1.47,40,87,71,21.15,0.62,0.54,2.61,1.67,0.15,Soyabean
6.72,0.64,1.35,48,84,77,15.28,0.8,0.56,2.57,1.78,0.11,Soyabean
6.18,0.75,1.1,41,95,71,22.91,0.66,0.55,2.9,1.58,0.09,Soyabean
6.53,0.75,1.02,58,102,77,17.5,0.65,0.57,2.75,1.56,0.13,Soyabean
6.27,0.63,1.6,43,112,76,20.92,0.68,0.52,2.54,1.68,0.15,Soyabean
6.54,0.75,1.91,51,96,73,18.44,0.7,0.53,2.87,1.57,0.13,Soyabean
6.17,0.64,1.68,56,86,75,24.66,0.67,0.58,2.58,1.48,0.15,Soyabean
7.23,0.67,1.9,40,94,73,17.32,0.78,0.53,2.84,1.3,0.09,Soyabean
6.21,0.65,1.64,58,117,68,15.59,0.63,0.52,2.97,1.1,0.12,Soyabean
6.27,0.65,1.73,45,102,73,24.99,0.66,0.55,2.88,1.69,0.16,Soyabean
6.05,0.68,1.84,49,81,68,21.42,0.74,0.53,3.0,1.67,0.09,Soyabean
6.17,0.72,1.24,49,117,71,21.71,0.75,0.52,2.82,1.24,0.1,Soyabean
7.33,0.7,1.89,44,102,76,17.52,0.62,0.58,2.69,1.24,0.08,Soyabean
7.2,0.71,1.2,40,103,78,22.41,0.73,0.51,2.62,1.22,0.15,Soyabean
7.37,0.7,1.3,53,84,79,15.36,0.7,0.54,2.98,1.52,0.12,Soyabean
6.09,0.75,1.14,56,107,73,16.81,0.7,0.57,2.55,1.24,0.1,Soyabean
6.96,0.75,2.0,44,94,72,23.4,0.62,0.57,2.53,1.34,0.09,Soyabean
6.23,0.77,1.12,46,108,76,21.52,0.7,0.54,2.9,1.13,0.12,Soyabean
6.16,0.7,1.75,40,102,70,20.86,0.67,0.54,2.85,1.33,0.08,Soyabean
6.84,0.72,1.2,54,94,73,24.39,0.63,0.51,2.54,1.74,0.09,Soyabean
7.03,0.76,1.53,50,85,67,17.7,0.67,0.51,2.83,1.51,0.1,Soyabean
6.37,0.73,1.98,52,88,76,19.36,0.6,0.57,2.56,1.35,0.09,Soyabean
6.25,0.71,1.66,49,104,72,19.94,0.65,0.6,2.71,1.78,0.08,Soyabean
6.74,0.67,1.26,53,119,73,16.54,0.61,0.55,2.72,1.51,0.11,Soyabean
6.77,0.79,1.27,42,113,79,22.31,0.65,0.55,2.7,1.35,0.09,Soyabean
6.18,0.66,1.87,53,80,68,15.22,0.65,0.59,2.73,1.49,0.14,Soyabean
6.25,0.74,1.59,40,112,76,16.07,0.75,0.59,2.92,1.58,0.13,Soyabean
7.45,0.67,1.56,40,113,71,18.91,0.76,0.57,2.78,1.33,0.11,Soyabean
6.39,0.76,1.13,54,111,66,16.57,0.68,0.56,2.55,1.45,0.12,Soyabean
6.53,0.79,1.19,55,83,76,23.41,0.67,0.53,2.51,1.78,0.1,Soyabean
7.47,0.77,1.99,50,102,72,23.27,0.75,0.58,2.86,1.53,0.09,Soyabean
6.1,0.71,1.79,49,103,66,16.71,0.73,0.59,2.64,1.53,0.1,Soyabean
6.06,0.8,2.0,49,106,68,21.01,0.6,0.54,2.98,1.71,0.11,Soyabean
6.18,0.77,1.49,42,93,78,23.2,0.61,0.59,2.82,1.65,0.16,Soyabean
6.13,0.71,1.92,40,88,79,24.06,0.68,0.57,2.59,1.23,0.14,Soyabean
6.51,0.75,1.71,47,117,74,17.76,0.73,0.52,2.66,1.54,0.09,Soyabean
6.53,0.78,1.02,57,115,73,22.1,0.67,0.51,2.72,1.57,0.12,Soyabean
6.32,0.75,1.83,58,106,73,22.43,0.71,0.54,2.53,1.52,0.15,Soyabean
6.77,0.7,1.08,44,119,79,15.69,0.78,0.54,2.99,1.39,0.14,Soyabean
6.03,0.69,1.98,45,93,69,15.72,0.79,0.57,2.89,1.15,0.16,Soyabean
6.94,0.67,1.44,54,96,79,23.8,0.79,0.55,2.84,1.59,0.12,Soyabean
6.03,0.61,1.05,57,115,75,22.09,0.72,0.51,2.51,1.76,0.12,Soyabean
7.28,0.69,1.23,49,85,70,15.22,0.75,0.53,2.78,1.59,0.15,Soyabean
6.21,0.64,1.86,54,116,67,18.52,0.7,0.52,2.95,1.35,0.11,Soyabean
6.99,0.63,1.22,49,117,71,24.61,0.75,0.6,2.86,1.27,0.15,Soyabean
6.24,0.73,1.38,44,110,73,21.1,0.68,0.53,2.7,1.74,0.08,Soyabean
6.49,0.7,1.55,53,109,72,22.74,0.64,0.51,2.57,1.18,0.09,Soyabean
6.7,0.6,1.33,55,92,76,23.19,0.66,0.52,2.96,1.21,0.1,Soyabean
7.01,0.63,1.56,50,111,65,22.4,0.76,0.56,2.77,1.39,0.14,Soyabean
6.2,0.72,1.26,44,85,77,17.6,0.65,0.58,2.62,1.42,0.09,Soyabean
6.5,0.71,1.14,51,101,75,19.19,0.61,0.52,2.88,1.72,0.1,Soyabean
6.9,0.72,1.04,46,99,78,24.08,0.73,0.56,2.86,1.3,0.15,Soyabean
6.82,0.74,1.69,50,86,68,22.94,0.72,0.51,2.6,1.71,0.15,Soyabean
6.6,0.65,1.89,47,93,75,17.11,0.6,0.52,2.63,1.37,0.08,Soyabean
7.32,0.66,1.82,44,93,78,21.53,0.78,0.52,2.83,1.38,0.08,Soyabean
7.06,0.69,1.69,57,117,68,24.53,0.78,0.5,2.79,1.39,0.13,Soyabean
7.49,0.78,1.03,46,88,77,15.41,0.62,0.52,2.78,1.51,0.16,Soyabean
7.27,0.67,1.39,51,99,68,17.88,0.74,0.52,2.76,1.72,0.12,Soyabean
6.48,0.63,1.12,55,103,73,18.35,0.7,0.51,2.83,1.54,0.11,Soyabean
6.32,0.77,1.35,51,115,74,15.29,0.68,0.57,2.56,1.12,0.15,Soyabean
6.5,0.7,1.43,57,117,67,18.5,0.68,0.56,2.58,1.69,0.1,Soyabean
6.61,0.65,1.75,59,108,67,21.96,0.69,0.52,2.84,1.6,0.15,Soyabean
6.12,0.66,1.56,45,94,66,21.63,0.7,0.57,2.57,1.11,0.1,Soyabean
7.12,0.64,1.05,46,117,69,21.11,0.61,0.51,2.83,1.6,0.1,Soyabean
6.18,0.62,1.33,47,101,72,20.21,0.71,0.56,2.7,1.75,0.08,Soyabean
6.82,0.78,1.44,42,95,76,23.63,0.64,0.54,2.66,1.36,0.12,Soyabean
6.33,0.64,1.01,58,111,75,18.98,0.66,0.58,2.83,1.44,0.15,Soyabean
7.2,0.74,1.27,44,80,69,20.76,0.77,0.51,2.76,1.76,0.09,Soyabean
6.75,0.68,1.58,59,89,69,16.73,0.62,0.59,2.98,1.31,0.13,Soyabean
7.02,0.76,1.18,52,114,72,17.39,0.73,0.6,2.67,1.13,0.1,Soyabean
6.57,0.68,1.15,55,80,73,20.78,0.68,0.53,2.69,1.25,0.08,Soyabean
6.59,0.72,1.76,57,100,65,21.27,0.79,0.54,2.87,1.78,0.12,Soyabean
6.63,0.68,1.43,42,103,75,22.93,0.67,0.57,2.91,1.69,0.08,Soyabean
7.44,0.74,1.45,48,106,66,19.88,0.63,0.6,2.66,1.8,0.15,Soyabean
7.19,0.62,1.62,47,91,73,21.21,0.8,0.55,2.99,1.7,0.09,Soyabean
6.08,0.73,1.23,44,88,66,16.37,0.64,0.56,2.64,1.47,0.09,Soyabean
6.46,0.71,1.99,41,83,65,24.0,0.61,0.6,2.61,1.74,0.1,Soyabean
6.63,0.74,1.68,53,93,67,22.68,0.6,0.59,2.82,1.8,0.12,Soyabean
6.32,0.69,1.01,59,84,76,23.81,0.74,0.59,2.74,1.54,0.11,Soyabean
6.35,0.8,1.13,55,101,73,23.93,0.73,0.56,2.74,1.61,0.14,Soyabean
6.13,0.67,2.0,48,103,79,15.1,0.74,0.57,2.65,1.68,0.14,Soyabean
6.22,0.78,1.12,45,102,74,15.74,0.68,0.53,2.53,1.63,0.12,Soyabean
7.5,0.69,1.77,55,87,76,24.87,0.64,0.54,2.72,1.17,0.14,Soyabean
7.27,0.63,1.61,45,114,66,17.75,0.69,0.59,2.85,1.5,0.1,Soyabean
7.12,0.69,1.95,43,114,70,19.83,0.78,0.58,2.99,1.27,0.14,Soyabean
6.15,0.77,1.44,55,91,78,17.07,0.76,0.57,2.9,1.75,0.12,Soyabean
7.44,0.69,1.43,51,87,66,17.37,0.64,0.56,2.67,1.16,0.13,Soyabean
6.58,0.68,1.41,53,89,65,23.55,0.64,0.52,2.76,1.66,0.12,Soyabean
7.08,0.76,1.66,55,110,78,17.25,0.62,0.51,2.93,1.65,0.08,Soyabean
6.45,0.73,1.55,43,116,66,21.21,0.65,0.6,2.87,1.78,0.08,Soyabean
6.03,0.65,1.8,58,98,68,22.87,0.7,0.56,2.95,1.42,0.1,Soyabean
6.84,0.77,1.06,55,94,66,22.73,0.69,0.51,2.54,1.3,0.16,Soyabean
6.43,0.7,1.98,56,103,79,21.59,0.8,0.5,2.69,1.78,0.15,Soyabean
6.25,0.62,1.84,51,83,73,22.73,0.61,0.56,3.0,1.63,0.13,Soyabean
6.24,0.66,1.24,47,101,76,22.39,0.71,0.51,2.72,1.56,0.12,Soyabean
6.11,0.79,1.69,49,112,68,24.93,0.65,0.56,2.69,1.72,0.09,Soyabean
6.26,0.61,1.65,50,95,79,19.65,0.73,0.51,2.84,1.37,0.14,Soyabean
7.18,0.65,1.88,40,102,72,18.6,0.64,0.55,2.73,1.47,0.12,Soyabean
6.21,0.62,1.23,53,94,70,18.23,0.65,0.51,2.65,1.25,0.15,Soyabean
6.83,0.8,1.87,54,87,70,22.59,0.74,0.52,2.55,1.57,0.14,Soyabean
6.16,0.74,1.68,45,85,65,16.69,0.76,0.53,2.92,1.14,0.09,Soyabean
7.34,0.66,1.72,41,108,75,21.15,0.74,0.54,2.83,1.64,0.11,Soyabean
7.11,0.75,1.72,41,85,77,15.17,0.71,0.54,2.63,1.52,0.11,Soyabean
6.13,0.68,1.49,40,105,72,19.45,0.69,0.54,2.9,1.26,0.09,Soyabean
6.16,0.7,1.96,51,115,74,23.11,0.68,0.57,2.92,1.32,0.12,Soyabean
6.21,0.62,1.11,44,117,74,15.51,0.64,0.51,2.53,1.25,0.09,Soyabean
7.12,0.79,1.8,41,99,66,20.32,0.62,0.58,2.82,1.47,0.15,Soyabean
6.48,0.63,1.28,40,87,71,23.45,0.72,0.55,2.57,1.18,0.12,Soyabean
6.7,0.78,1.06,46,119,72,21.47,0.79,0.6,2.87,1.21,0.14,Soyabean
7.02,0.63,1.38,54,91,69,18.01,0.8,0.5,2.82,1.59,0.08,Soyabean
6.04,0.71,1.58,45,113,65,23.87,0.73,0.57,2.7,1.79,0.12,Soyabean
6.56,0.77,1.34,57,89,73,21.92,0.71,0.57,2.79,1.19,0.12,Soyabean
7.21,0.67,1.95,44,97,77,16.01,0.73,0.59,2.71,1.22,0.09,Soyabean
6.6,0.68,1.27,48,108,78,24.35,0.63,0.56,2.62,1.55,0.14,Soyabean
7.14,0.71,1.67,57,109,66,17.88,0.76,0.52,2.67,1.49,0.1,Soyabean
6.69,0.71,1.27,43,86,67,23.65,0.78,0.55,2.75,1.15,0.1,Soyabean
7.22,0.62,1.37,51,98,68,19.06,0.71,0.52,2.74,1.12,0.16,Soyabean
6.88,0.69,1.94,41,115,66,20.55,0.64,0.57,2.94,1.5,0.09,Soyabean
6.39,0.69,1.79,46,103,65,22.98,0.79,0.55,2.87,1.22,0.15,Soyabean
6.32,0.61,1.42,53,84,77,15.24,0.65,0.5,2.82,1.54,0.12,Soyabean
7.29,0.69,1.92,57,81,72,21.13,0.68,0.56,2.78,1.45,0.14,Soyabean
6.31,0.69,1.59,53,92,71,20.05,0.68,0.56,2.72,1.39,0.1,Soyabean
6.3,0.74,1.18,50,104,68,16.62,0.68,0.56,2.58,1.28,0.13,Soyabean
6.62,0.8,1.29,47,113,75,24.9,0.76,0.58,2.59,1.55,0.13,Soyabean
6.49,0.68,1.35,59,116,76,17.67,0.68,0.58,2.94,1.66,0.11,Soyabean
